mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2950573921203613,0.008057058764720983,0.004640054702758789,0.0037903781128553276,4,110,"{'max_depth': 4, 'n_estimators': 110}",-21605.016949379282,-19497.77739057149,-21941.18518568065,-20007.533537564213,-20028.51020708476,-20616.00465405608,969.5429644244216,30
0.2885981559753418,0.005126012958686241,0.004633951187133789,0.0032189815718637257,4,120,"{'max_depth': 4, 'n_estimators': 120}",-21632.041229666094,-19695.194329248716,-21980.50223405394,-20062.393969392124,-20075.12552172517,-20689.05145681721,928.9167316897891,38
0.31125607490539553,0.0046394489461528,0.00040383338928222655,0.0008076667785644531,4,130,"{'max_depth': 4, 'n_estimators': 130}",-21624.425727739726,-19793.823396029537,-21936.52893568065,-20339.66910584332,-20136.538420376713,-20766.19711713399,852.0727417160052,42
0.3403801441192627,0.009772753151748905,0.003624582290649414,0.004485304787697669,4,140,"{'max_depth': 4, 'n_estimators': 140}",-21786.411988976884,-19819.92573442851,-22017.697840860445,-20326.271685038526,-20164.380431292808,-20822.937536119436,899.1264993728768,45
0.3617247104644775,0.004193384224784156,0.004742193222045899,0.003050542967362282,4,150,"{'max_depth': 4, 'n_estimators': 150}",-21786.587101348458,-19783.767551369863,-21999.10599047517,-20251.82634578339,-20318.61844499144,-20827.981086793665,891.3187449143293,46
0.37999954223632815,0.0065059521120534826,0.0052433013916015625,0.00483858607766862,4,160,"{'max_depth': 4, 'n_estimators': 160}",-21763.20632223887,-19838.83696088399,-21986.456536279966,-20383.88805650685,-20393.766748715752,-20873.230924925087,845.0610252028916,51
0.4138489246368408,0.013774468611932716,0.007340764999389649,0.0040173478072723584,4,170,"{'max_depth': 4, 'n_estimators': 170}",-21812.926503638697,-19849.927613976884,-22039.77200610017,-20488.183526862158,-20403.16376819349,-20918.794683754284,854.3816349758611,55
0.41922850608825685,0.00380368814150044,0.009805059432983399,0.000897864725421725,4,180,"{'max_depth': 4, 'n_estimators': 180}",-21930.161467251713,-19915.13415025685,-22055.267096532534,-20592.192128638697,-20423.39639073202,-20983.23024668236,854.7626303432336,60
0.45169849395751954,0.013848636684592885,0.004418754577636718,0.0038935521366582557,4,190,"{'max_depth': 4, 'n_estimators': 190}",-21986.431172410103,-19930.51290266481,-22027.514795590752,-20728.884538206337,-20539.381421232876,-21042.544966020974,830.5731108682885,67
0.47728257179260253,0.00385807744327121,0.006964111328125,0.0036340595505299166,4,200,"{'max_depth': 4, 'n_estimators': 200}",-21876.303363120718,-19987.009237211045,-22084.99919734589,-20837.898571275684,-20559.71341235017,-21069.1847562607,795.924321517842,69
0.5038551330566406,0.006990864127940082,0.006138515472412109,0.003545990318843469,4,210,"{'max_depth': 4, 'n_estimators': 210}",-21845.81161708048,-19924.23311750856,-22179.34783015839,-20866.04370451627,-20625.53098244863,-21088.193450342467,822.5343630927545,74
0.5326335906982422,0.008752190788563062,0.002825307846069336,0.003739876281787245,4,220,"{'max_depth': 4, 'n_estimators': 220}",-21835.786480629282,-19923.87996307791,-22169.929874785958,-20901.819804152397,-20640.24585295377,-21094.33239511986,814.8470629894854,76
0.55115647315979,0.004515038264351753,0.006232357025146485,0.0034894648017948105,4,230,"{'max_depth': 4, 'n_estimators': 230}",-21889.433446596748,-19939.137280607876,-22206.140584867295,-20900.212235124145,-20624.542714576197,-21111.893252354454,831.8199261101511,79
0.5748932361602783,0.006867522734514708,0.00744776725769043,0.002961119908002795,4,240,"{'max_depth': 4, 'n_estimators': 240}",-21888.226147795376,-19928.913808326197,-22235.017645012842,-20972.492856378423,-20684.955987799658,-21141.9212890625,831.9544475802111,81
0.5909020900726318,0.009749237112095658,0.007449579238891601,0.0037995881417155876,4,250,"{'max_depth': 4, 'n_estimators': 250}",-21916.508240582192,-19943.373916416953,-22269.11044520548,-21045.41708583048,-20722.731418557363,-21179.428221318492,834.8719066546337,84
0.6122515201568604,0.00802083309537109,0.007943153381347656,0.0031181502821587205,4,260,"{'max_depth': 4, 'n_estimators': 260}",-21967.18004869435,-19969.627842733305,-22284.29259417808,-21099.57563677226,-20729.62454516267,-21210.060133508137,837.7235095296434,87
0.6446074485778809,0.00659312362883077,0.005739736557006836,0.004719625272513449,4,270,"{'max_depth': 4, 'n_estimators': 270}",-21947.839335402397,-19982.59522822132,-22298.026995933218,-21143.205332298803,-20765.365354773116,-21227.406449325772,828.9003167462646,90
0.7015538692474366,0.010052597171125487,0.003619861602783203,0.0038936660562329567,4,280,"{'max_depth': 4, 'n_estimators': 280}",-21917.572733839897,-19989.357655982447,-22358.94646297089,-21149.398236836474,-20803.66015625,-21243.787049175942,833.5204495767173,92
0.6928690910339356,0.004499442225641509,0.008346796035766602,0.0008880187442969587,4,290,"{'max_depth': 4, 'n_estimators': 290}",-21931.62041149401,-19986.47721131207,-22420.48286333476,-21188.353448737158,-20809.56806506849,-21267.3003999893,851.7523611532273,96
0.7289183139801025,0.013704531381626224,0.006943321228027344,0.003407606963354314,4,300,"{'max_depth': 4, 'n_estimators': 300}",-21946.547022153252,-19982.280012574913,-22422.259123501713,-21153.41309931507,-20837.351348458906,-21268.370121200773,853.7451382536339,98
0.047028112411499026,0.012230546231577289,0.003790140151977539,0.0017904429538238074,5,10,"{'max_depth': 5, 'n_estimators': 10}",-21617.310332833906,-20099.12950824058,-22326.296313142124,-19322.62162885274,-20781.50532427226,-20829.372621468323,1064.6568660363582,47
0.07470941543579102,0.01360968828525217,0.0033231735229492187,0.003487776445244413,5,20,"{'max_depth': 5, 'n_estimators': 20}",-21120.673721104453,-19130.100117722603,-21031.760153574487,-19301.926543771406,-20339.47717786815,-20184.78754280822,837.7330760526459,3
0.10224676132202148,0.00590785584192329,0.007049560546875,0.003597960989646791,5,30,"{'max_depth': 5, 'n_estimators': 30}",-21180.90216984161,-19137.09801744435,-21213.13110017123,-19525.20177386558,-20619.166069135274,-20335.09982609161,855.3545863457376,6
0.14004573822021485,0.011474748279534182,0.0024240493774414064,0.003913040480789131,5,40,"{'max_depth': 5, 'n_estimators': 40}",-21432.043196168663,-19514.308760969605,-21440.594927226026,-19358.875066887842,-20437.789811643837,-20436.722352579196,895.6591396886298,16
0.169669771194458,0.009053533386608385,0.0008138179779052735,0.0011845986700715152,5,50,"{'max_depth': 5, 'n_estimators': 50}",-21470.525497645547,-19820.98404724957,-21363.874652183218,-19468.52682202483,-20513.168637628423,-20527.415931346317,801.2008467039515,24
0.19342780113220215,0.007845810635400886,0.003423643112182617,0.0027206773484537324,5,60,"{'max_depth': 5, 'n_estimators': 60}",-21433.879334332192,-19898.702402611303,-21528.86583636558,-19705.70576038099,-20364.388885916094,-20586.308443921233,762.1420204729429,28
0.21829066276550294,0.00746703536906449,0.0024315357208251954,0.003925350443290553,5,70,"{'max_depth': 5, 'n_estimators': 70}",-21547.99715057791,-19945.492274454195,-21506.66617615582,-19795.04386504709,-20373.290427011987,-20633.6979786494,754.028693903018,35
0.24874348640441896,0.012460723031111726,0.00564732551574707,0.003645900630400226,5,80,"{'max_depth': 5, 'n_estimators': 80}",-21668.33532213185,-20064.11072613442,-21512.925433433218,-19815.618592144692,-20331.624518407534,-20678.522918450344,763.9896425825733,37
0.27686200141906736,0.006455553435338565,0.005539226531982422,0.0040973379955931335,5,90,"{'max_depth': 5, 'n_estimators': 90}",-21721.006702161816,-20137.90585536173,-21627.338372217466,-19801.418543985445,-20365.56151005993,-20730.64619675728,791.5759925176002,40
0.30973196029663086,0.0039047661474993496,0.0010118484497070312,0.0012392674372535678,5,100,"{'max_depth': 5, 'n_estimators': 100}",-21774.40944723887,-20268.600137788955,-21701.40543396832,-19995.009645226884,-20429.544440282534,-20833.793820901115,751.522191576768,48
0.33362908363342286,0.010792096343128438,0.004836940765380859,0.004823892223796793,5,110,"{'max_depth': 5, 'n_estimators': 110}",-21997.80673426798,-20312.283015839042,-21692.39213666524,-20008.62740796233,-20427.27868150685,-20887.67759524829,799.465760620655,53
0.3622927665710449,0.009456329816381007,0.004124498367309571,0.003999097241187791,5,120,"{'max_depth': 5, 'n_estimators': 120}",-22040.658524186645,-20350.163192958047,-21730.346907106163,-20065.134203767124,-20463.63297303082,-20929.98716020976,796.9716808490451,56
